,1 2 1082040961
153,36 93 1082621760
154,91 92 1082621825
155,36 90 1082621841
156,91 92 1082621981
157,36 60 1082622201
158,36 84 1082622692
159,51 58 1082622812
160,94 84 1082622904
161,36 84 1082623270
162,94 84 1082623289
163,94 84 1082623664
164,69 84 1082623764
165,69 95 1082623795
166,87 8 1082624060
167,3 84 1082624449
168,3 84 1082624696
169,48 86 1082625217
170,84 8 1082626287
171,91 81 1082627222
172,96 88 1082627395
173,8 84 1082628373
174,84 8 1082629290
175,91 47 1082629573
176,97 98 1082630222
177,98 97 1082630376
178,97 98 1082630411
179,48 97 1082630520
180,99 8 1082630832
181,99 8 1082630846
182,97 48 1082630976
183,100 101 10826311
184,102 97 108263128
185,97 48 1082631600
186,97 102 108263161
187,101 100 10826319
188,48 58 1082632034
189,97 48 1082632063
190,103 72 108263508
191,103 58 108263544
192,104 59 108263758
193,104 59 108263759
194,103 72 108264010
195,105 56 108265351
196,106 72 108265368
197,105 61 108265396
198,105 8 1082654051
199,105 33 108265450
200,105 107 10826548
201,105 81 108265525
202,44 102 108265607
203,36 105 108265931
204,36 104 108265989
205,34 108 108266017
206,34 109 108266074
207,36 110 108266094
208,111 112 10826615
209,34 58 1082662461
210,36 113 108266271
211,36 109 108266274
212,79 109 108266350
213,114 105 10826636
214,101 115 10826637
215,56 90 1082664575
216,56 105 108266460
217,56 68 1082664651
218,29 58 1082665970
219,87 58 1082666210
220,44 116 108266670
221,44 117 108266728
222,44 117 108266731
223,44 79 1082667839
224,80 58 1082668259
225,96 32 1082669430
226,118 100 10826703
227,119 120 10826706
228,119 120 10826707
229,120 119 10826707
230,120 75 108267085
231,119 120 10826709
232,120 119 10826709
233,119 58 108267104
234,74 73 1082671401
235,118 120 10826719
236,121 108 10826724
237,72 106 108267271
238,44 92 1082673531
239,26 122 108267394
240,44 79 1082675428
241,1 123 1082676222
242,96 124 108267744
243,125 126 10826775
244,36 104 108267866
245,44 79 1082680218
246,44 79 1082680860
247,36 124 108268099
248,36 127 108268162
249,36 128 108268167
250,44 79 1082681912
251,44 129 108268202
252,44 116 108268218
253,9 120 1082682332
254,79 58 1082682731
255,36 109 108268384
256,124 109 10826839
257,36 109 108268414
258,124 61 108268422
259,124 72 108268442
260,36 109 108268492
261,36 112 108268526
262,124 85 108268551
263,85 124 108268562
264,32 130 108268569
265,36 112 108268572
266,124 85 108268576
267,72 124 108268665
268,124 8 1082686913
269,131 30 108268724
270,99 126 108268802
271,103 72 108268840
272,103 72 108268876
273,103 63 108268904
274,103 117 10826891
275,103 72 108268952
276,131 30 108269149
277,69 95 1082692186
278,69 124 108269220
279,69 79 1082692215
280,132 30 108269223
281,36 99 1082692567
282,36 133 108269261
283,36 60 1082692654
284,36 134 108269285
285,36 133 108269292
286,36 81 1082693082
287,103 72 108269335
288,103 135 10826935
289,133 135 10826936
290,135 133 10826937
291,36 133 108269371
292,103 135 10826937
293,19 52 1082693950
294,133 135 10826939
295,103 135 10826940
296,103 135 10826940
297,135 133 10826940
298,133 135 10826941
299,36 133 108269415
300,36 133 108269461
301,36 133 108269540
302,9 109 1082697472
303,9 109 1082698466
304,62 136 108269946
305,96 32 1082700012
306,137 138 10827010
307,96 137 108270125
308,19 120 108270145
309,44 90 1082701470
310,96 137 108270148
311,137 138 10827014
312,19 139 108270190
313,44 60 1082702454
314,44 88 1082702546
315,44 102 108270261
316,44 90 1082702670
317,19 111 108270267
318,44 90 1082702885
319,9 32 1082702909
320,44 90 1082703058
321,44 90 1082703229
322,103 63 108270344
323,103 72 108270348
324,38 86 1082703540
325,140 105 10827035
326,103 72 108270406
327,38 86 1082704560
328,38 101 108270476
329,38 101 108270552
330,38 101 108270556
331,103 101 10827056
332,38 101 108270576
333,103 101 10827057
334,38 61 1082706733
335,75 120 108270673
336,38 81 1082706844
337,44 141 108270698
338,44 141 108270708
339,44 74 1082707557
340,44 127 108270768
341,124 135 10827098
342,140 124 10827102
343,19 82 1082710304
344,19 82 1082710599
345,19 82 1082710723
346,105 56 108271092
347,19 82 1082710984
348,124 135 10827110
349,105 58 108271111
350,105 63 108271112
351,19 82 1082711132
352,105 61 108271121
353,105 135 10827113
354,124 135 10827117
355,71 72 1082712614
356,135 124 10827128
357,9 32 1082712981
358,63 105 108271300
359,72 71 1082713242
360,142 58 108271334
361,124 135 10827134
362,124 135 10827136
363,143 32 108271377
364,144 99 108271408
365,144 105 10827142
366,144 121 10827143
367,9 109 1082714460
368,103 109 10827156
369,103 63 108271586
370,103 63 108271657
371,103 109 10827167
372,48 81 1082716717
373,95 81 1082716899
374,145 48 108271694
375,95 63 1082716951
376,145 95 108271708
377,95 109 108271708
378,145 95 108271721
379,145 48 108271734
380,145 95 108271751
381,145 48 108271771
382,145 48 108271785
383,95 109 108271792
384,96 48 1082718139
385,95 109 108271827
386,96 95 1082718540
387,96 95 1082718708
388,96 48 1082718758
389,96 95 1082718927
390,105 144 10827201
391,105 63 108272016
392,6 146 1082721036
393,44 60 1082741603
394,44 105 108274164
395,63 95 1082742068
396,44 32 1082744110
397,114 105 10827454
398,34 109 108274565
399,36 105 108274581
400,36 109 108274589
401,36 147 108274638
402,44 32 1082746993
403,19 120 108274795
404,9 136 1082749051
405,9 148 1082749071
406,9 149 1082749129
407,9 150 1082749176
408,9 151 1082749262
409,9 152 1082749354
410,9 153 1082749374
411,9 58 1082749391
412,9 58 1082749400
413,9 135 1082749423
414,9 22 1082749444
415,9 8 1082749542
416,9 154 1082749637
417,9 121 1082749757
418,1 135 1082750393
419,3 155 1082750637
420,36 109 108275077
421,3 155 1082750830
422,30 132 108275128
423,3 58 1082751801
424,68 56 1082753565
425,36 156 108275667
426,131 30 108275753
427,101 51 108275851
428,101 34 108275874
429,9 8 1082758968
430,36 73 1082760011
431,96 95 1082760681
432,9 76 1082761826
433,9 8 1082762055
434,9 157 1082762898
435,19 158 108276352
436,9 58 1082763674
437,9 32 1082764006
438,44 129 108276825
439,105 135 10827682
440,105 129 10827683
441,44 129 108276852
442,44 129 108276857
443,44 129 108276861
444,51 101 108276872
445,1 159 1082768765
446,44 74 1082770262
447,44 129 108277043
448,160 72 108277249
449,129 8 1082773348
450,36 147 108277364
451,36 109 108277371
452,36 105 108277379
453,36 129 108277382
454,9 8 1082773864
455,34 101 108277762
456,161 162 10827787
457,163 72 108278012
458,32 164 108278110
459,58 8 1082781852
460,32 58 1082782023
461,41 76 1082782364
462,41 120 108278243
463,41 132 108278247
464,41 165 108278251
465,41 166 108278254
466,41 157 108278256
467,41 167 108278261
468,41 168 108278263
469,41 169 108278264
470,41 134 108278267
471,56 68 1082782768
472,41 56 1082782793
473,56 154 108278282
474,56 170 108278289
475,56 171 108278291
476,56 172 108278292
477,103 101 10827832
478,51 157 108278336
479,32 130 108278350
480,8 58 1082784142
481,8 164 1082784235
482,103 63 108278498
483,103 173 10827851
484,67 154 108278554
485,32 26 1082786041
486,96 163 108278736
487,9 58 1082787836
488,41 56 1082787880
489,9 20 1082788102
490,9 165 1082788143
491,9 61 1082788304
492,103 109 10827891
493,32 155 108278925
494,32 109 108278931
495,32 174 108278939
496,175 50 108278942
497,103 85 108278990
498,124 109 10827899
499,164 8 1082790172
500,103 63 108279063
501,38 128 108279088
502,103 63 108279091
503,103 63 108279096
504,19 109 108279101
505,103 63 108279107
506,103 63 108279115
507,161 164 10827911
508,161 164 10827911
509,38 109 108279121
510,41 63 1082791248
511,103 63 108279133
512,176 63 108279135
513,41 63 1082791358
514,176 63 108279145
515,41 63 1082791473
516,161 63 108279150
517,103 63 108279151
518,41 63 1082791516
519,176 63 108279156
520,41 63 1082791565
521,161 63 108279157
522,103 63 108279159
523,32 164 108279159
524,176 63 108279161
525,41 63 1082791645
526,176 63 108279170
527,41 63 1082791710
528,161 63 108279171
529,103 63 108279174
530,41 177 108279177
531,41 177 108279177
532,164 178 10827917
533,164 177 10827918
534,32 175 108279182
535,32 177 108279184
536,176 63 108279186
537,164 179 10827918
538,41 63 1082791906
539,32 179 108279192
540,41 63 1082791939
541,41 63 1082792036
542,41 63 1082792059
543,41 63 1082792143
544,161 63 108279217
545,96 164 108279228
546,41 63 1082792398
547,41 177 108279245
548,41 177 108279249
549,41 63 1082792526
550,41 177 108279255
551,41 63 1082792614
552,161 63 108279262
553,32 177 108279262
554,41 177 108279263
555,32 177 108279272
556,41 177 108279272
557,41 63 1082792756
558,41 180 108279277
559,32 177 108279285
560,41 63 1082792871
561,161 63 108279288
562,41 177 108279289
563,41 180 108279291
564,177 32 108279303
565,41 63 1082793068
566,41 177 108279308
567,180 177 10827930
568,180 177 10827931
569,180 181 10827931
570,41 177 108279317
571,180 182 10827932
572,41 180 108279330
573,41 90 1082793327
574,41 63 1082793357
575,32 177 108279338
576,41 180 108279349
577,41 63 1082793513
578,41 177 108279352
579,177 180 10827935
580,177 180 10827936
581,177 32 108279367
582,41 180 108279370
583,41 177 108279375
584,41 180 108279376
585,32 177 108279378
586,41 63 1082793787
587,183 184 10827938
588,41 63 1082794070
589,177 32 108279411
590,32 177 108279417
591,41 177 108279422
592,177 32 108279424
593,175 32 108279428
594,32 177 108279429
595,32 175 108279432
596,41 168 108279440
597,175 32 108279452
598,41 168 108279463
599,41 177 108279464
600,177 32 108279465
601,63 174 108279467
602,174 63 108279469
603,63 174 108279470
604,174 63 108279473
605,41 168 108279474
606,41 177 108279477
607,32 175 108279479
608,63 174 108279480
609,174 63 108279483
610,41 168 108279483
611,9 32 1082794860
612,41 177 108279487
613,63 174 108279487
614,32 177 108279488
615,175 32 108279491
616,32 175 108279501
617,41 168 108279504
618,41 177 108279507
619,41 168 108279508
620,41 168 108279509
621,63 155 108279513
622,174 63 108279514
623,41 177 108279516
624,177 32 108279517
625,41 168 108279518
626,175 32 108279519
627,63 174 108279520
628,174 63 108279527
629,63 174 108279529
630,41 168 108279534
631,41 177 108279536
632,41 177 108279539
633,32 175 108279541
634,41 177 108279541
635,175 32 108279561
636,175 32 108279563
637,32 175 108279571
638,41 177 108279578
639,41 168 108279580
640,174 63 108279580
641,63 174 108279586
642,41 168 108279589
643,41 168 108279600
644,41 177 108279602
645,41 168 108279605
646,41 177 108279607
647,174 63 108279610
648,63 174 108279612
649,41 168 108279641
650,41 177 108279646
651,41 177 108279674
652,41 177 108279678
653,41 177 108279712
654,9 32 1082797139
655,41 177 108279714
656,41 185 108279715
657,41 168 108279716
658,185 147 10827973
659,185 32 108279749
660,41 185 108279756
661,41 177 108279757
662,32 185 108279771
663,186 185 10827977
664,140 185 10827977
665,155 32 108279773
666,32 155 108279775
667,185 186 10827977
668,155 63 108279784
669,41 177 108279795
670,103 177 10827980
671,187 186 10827981
672,185 97 108279824
673,103 97 108279827
674,187 186 10827982
675,41 185 108279838
676,41 185 108279840
677,41 186 108279844
678,41 185 108279845
679,41 186 108279852
680,185 63 108279870
681,41 168 108279874
682,187 186 10827988
683,63 155 108279888
684,63 185 108279892
685,103 58 108279901
686,103 63 108279907
687,187 186 10827991
688,103 188 10827993
689,189 175 10827993
690,189 175 10827993
691,140 185 10827994
692,187 186 10827994
693,185 109 10827995
694,140 185 10827998
695,189 8 1082800356
696,102 97 108280035
697,140 185 10828005
698,41 86 1082800641
699,41 188 108280092
700,101 100 10828016
701,101 190 10828022
702,191 175 10828022
703,101 190 10828022
704,101 190 10828023
705,101 190 10828023
706,101 190 10828024
707,103 192 10828024
708,101 190 10828025
709,101 190 10828025
710,101 190 10828025
711,101 190 10828026
712,101 190 10828026
713,101 190 10828026
714,101 190 10828026
715,101 190 10828026
716,193 149 10828027
717,101 100 10828027
718,193 190 10828027
719,191 78 108280280
720,101 190 10828028
721,101 190 10828028
722,190 109 10828028
723,101 190 10828029
724,193 190 10828029
725,109 124 10828032
726,103 109 10828032
727,103 190 10828033
728,103 109 10828035
729,103 109 10828035
730,41 192 108280438
731,194 149 10828055
732,194 195 10828059
733,176 20 108280775
734,176 61 108280776
735,176 149 10828077
736,176 120 10828077
737,176 132 10828077
738,176 86 108280779
739,176 97 108280782
740,176 72 108280784
741,176 58 108280785
742,176 8 1082807856
743,176 196 10828080
744,176 197 10828080
745,176 198 10828080
746,176 199 10828080
747,176 200 10828080
748,176 190 10828080
749,176 192 10828080
750,176 201 10828080
751,176 188 10828081
752,176 202 10828081
753,176 185 10828081
754,176 203 10828081
755,176 180 10828081
756,176 181 10828081
757,176 177 10828081
758,176 184 10828081
759,176 175 10828081
760,176 166 10828089
761,204 205 10828137
762,204 104 10828137
763,204 184 10828140
764,189 144 10828145
765,3 185 1082832584
766,3 32 1082833362
767,199 58 108283348
768,63 185 108283378
769,63 199 108283394
770,63 184 108283399
771,199 101 10828342
772,194 199 10828356
773,194 206 10828357
774,194 207 10828358
775,204 123 10828360
776,121 191 10828361
777,175 191 10828362
778,204 129 10828362
779,63 199 108283627
780,101 184 10828362
781,101 208 10828363
782,63 46 1082836457
783,63 199 108283751
784,101 88 108283805
785,191 121 10828387
786,191 175 10828387
787,103 177 10828388
788,199 20 108283896
789,184 101 10828390
790,103 132 10828390
791,199 209 10828393
792,101 184 10828394
793,36 105 108283980
794,103 210 10828398
795,36 209 108283995
796,184 101 10828404
797,209 199 10828405
798,199 209 10828408
799,199 210 10828409
800,101 184 10828412
801,184 101 10828426
802,176 101 10828441
803,68 101 108284454
804,32 198 108284534
805,211 101 10828467
806,212 209 10828467
807,211 213 10828470
808,211 93 108284702
809,211 85 108284707
810,189 199 10828473
811,214 215 10828482
812,103 109 10828483
813,103 215 10828483
814,103 82 108284837
815,44 214 108284839
816,103 215 10828485
817,63 199 108284857
818,63 199 108284860
819,103 215 10828487
820,103 215 10828487
821,103 168 10828488
822,214 109 10828488
823,215 67 108284890
824,103 215 10828489
825,214 215 10828489
826,41 215 108284894
827,41 216 108284896
828,103 127 10828490
829,215 62 108284920
830,214 109 10828493
831,176 217 10828494
832,176 216 10828494
833,176 218 10828495
834,103 109 10828497
835,219 124 10828500
836,19 109 108285017
837,63 127 108285058
838,88 101 108285071
839,103 168 10828508
840,103 56 108285108
841,63 127 108285119
842,103 56 108285123
843,214 56 108285123
844,214 56 108285128
845,63 127 108285143
846,51 215 108285160
847,19 175 108285188
848,19 109 108285191
849,44 214 108285194
850,215 51 108285202
851,44 214 108285221
852,19 215 108285234
853,19 215 108285238
854,103 175 10828528
855,44 214 108285282
856,19 215 108285318
857,103 175 10828532
858,214 175 10828532
859,51 215 108285332
860,19 215 108285335
861,214 215 10828534
862,215 51 108285345
863,19 215 108285356
864,96 95 1082853756
865,96 32 1082853843
866,19 215 108285384
867,96 164 108285387
868,103 215 10828538
869,103 215 10828540
870,19 215 108285415
871,144 185 10828543
872,103 168 10828544
873,220 214 10828544
874,220 32 108285452
875,19 215 108285453
876,144 32 108285463
877,103 175 10828548
878,103 175 10828549
879,175 214 10828549
880,103 175 10828550
881,103 175 10828551
882,103 175 10828553
883,176 221 10828557
884,103 98 108285621
885,3 32 1082856808
886,222 120 10828568
887,41 222 108285689
888,41 222 108285741
889,41 223 108285790
890,214 175 10828580
891,41 97 1082858249
892,41 134 108285839
893,51 215 108285846
894,36 222 108285852
895,36 221 108285858
896,212 66 108285877
897,96 224 108285905
898,175 214 10828594
899,214 175 10828595
900,225 223 10828598
901,36 221 108285988
902,36 214 108285992
903,176 223 10828599
904,176 226 10828599
905,221 161 10828599
906,36 221 108285999
907,44 226 108286023
908,221 161 10828603
909,36 221 108286050
910,221 161 10828607
911,56 214 108286093
912,221 161 10828609
913,221 161 10828611
914,221 161 10828614
915,161 221 10828617
916,36 221 108286188
917,36 214 108286194
918,221 161 10828622
919,204 221 10828626
920,227 26 108286278
921,211 228 10828634
922,214 101 10828641
923,229 230 10828649
924,220 214 10828651
925,96 231 108286536
926,96 232 108286542
927,103 221 10828654
928,103 20 108286581
929,103 86 108286587
930,220 214 10828660
931,220 214 10828662
932,103 66 108286640
933,212 66 108286681
934,124 109 10828669
935,103 185 10828673
936,212 6 1082867532
937,103 185 10828676
938,103 8 1082867874
939,63 202 108286794
940,63 185 108286798
941,103 93 108286832
942,63 185 108286833
943,9 233 1082870312
944,103 233 10828703
945,9 97 1082870627
946,9 190 1082870736
947,166 234 10828722
948,69 34 1082872324
949,69 34 1082872358
950,235 191 10828723
951,69 185 108287262
952,41 166 108287386
953,41 32 1082873924
954,3 32 1082874683
955,3 132 1082874803
956,1 30 1082875165
957,41 32 1082875654
958,41 173 108287566
959,103 166 10828764
960,63 127 108287711
961,63 199 108287743
962,103 166 10828777
963,63 92 1082878073
964,97 228 108287860
965,97 228 108287860
966,103 58 108288053
967,191 136 10828812
968,32 58 1082881660
969,131 30 108288250
970,191 236 10828825
971,32 237 108288270
972,9 235 1082882811
973,101 34 108288285
974,237 32 108288287
975,97 191 108288289
976,48 81 1082882962
977,48 81 1082882967
978,175 214 10828832
979,176 233 10828835
980,9 101 1082883520
981,48 52 1082883809
982,48 52 1082883813
983,48 175 108288383
984,52 48 1082883884
985,48 52 1082883971
986,9 177 1082884190
987,97 191 108288423
988,9 175 1082884244
989,52 48 1082884244
990,175 48 108288433
991,96 48 1082884479
992,41 32 1082884511
993,9 175 1082884570
994,41 174 108288465
995,9 175 1082884947
996,48 175 108288548
997,12 175 108288549
998,48 52 1082885579
999,175 48 108288563
1000,48 175 108288566
1001,12 175 108288566
1002,12 168 108288570
1003,12 175 108288572
1004,52 48 1082885760
1005,175 48 108288576
1006,48 52 1082885813
1007,12 81 1082885824
1008,12 175 108288585
1009,48 175 108288587
1010,175 48 108288599
1011,12 175 108288603
1012,48 175 108288605
1013,12 175 108288605
1014,52 48 1082886083
1015,48 52 1082886157
1016,12 175 108288617
1017,175 48 108288623
1018,52 48 1082886253
1019,12 175 108288631
1020,48 52 1082886336
1021,12 175 108288635
1022,48 175 108288636
1023,12 175 108288642
1024,175 48 108288645
1025,52 48 1082886469
1026,12 175 108288654
1027,12 175 108288658
1028,12 175 108288661
1029,220 214 10828866
1030,12 175 108288667
1031,88 220 108288668
1032,48 175 108288674
1033,48 52 1082886758
1034,12 175 108288683
1035,175 48 108288685
1036,52 48 1082886858
1037,9 175 1082886907
1038,48 175 108288695
1039,12 175 108288697
1040,12 175 108288704
1041,175 48 108288705
1042,12 175 108288712
1043,9 175 1082887137
1044,48 175 108288721
1045,12 175 108288721
1046,48 52 1082887232
1047,9 175 1082887269
1048,175 48 108288730
1049,9 209 1082887307
1050,12 175 108288731
1051,48 175 108288741
1052,103 66 108288744
1053,103 52 108288753
1054,12 175 108288754
1055,103 66 108288756
1056,175 48 108288757
1057,52 48 1082887603
1058,103 66 108288767
1059,12 175 108288767
1060,12 175 108288769
1061,48 52 1082887827
1062,48 175 108288787
1063,175 48 108288795
1064,48 175 108288801
1065,48 175 108288804
1066,9 175 1082888043
1067,9 209 1082888052
1068,175 48 108288814
1069,175 48 108288822
1070,220 48 108288833
1071,9 175 1082888339
1072,48 175 108288839
1073,144 185 10828884
1074,175 48 108288852
1075,220 48 108288853
1076,48 175 108288864
1077,144 222 10828887
1078,220 48 108288873
1079,175 48 108288874
1080,220 48 108288875
1081,220 48 108288891
1082,48 175 108288892
1083,220 48 108288895
1084,175 48 108288905
1085,48 175 108288907
1086,220 48 108288911
1087,175 48 108288914
1088,144 195 10828891
1089,48 175 108288918
1090,191 237 10828892
1091,220 48 108288923
1092,175 48 108288935
1093,220 48 108288941
1094,48 175 108288947
1095,220 95 108288954
1096,95 168 108288956
1097,220 48 108288961
1098,176 198 10828896
1099,220 95 108288964
1100,191 175 10828896
1101,220 95 108288967
1102,176 201 10828897
1103,175 48 108288974
1104,175 191 10828897
1105,191 175 10828898
1106,48 175 108288982
1107,175 191 10828898
1108,175 48 108288986
1109,191 175 10828898
1110,144 88 108288991
1111,175 191 10828899
1112,220 48 108288991
1113,191 175 10828899
1114,175 191 10828900
1115,144 238 10828900
1116,191 175 10828900
1117,175 191 10828900
1118,220 95 108289010
1119,239 175 10828901
1120,144 240 10828901
1121,239 175 10828902
1122,239 236 10828902
1123,220 95 108289034
1124,220 48 108289045
1125,220 95 108289049
1126,12 90 1082890594
1127,220 95 108289070
1128,144 23 108289072
1129,220 95 108289077
1130,3 132 1082890791
1131,220 95 108289135
1132,220 95 108289142
1133,220 95 108289168
1134,103 52 108289173
1135,144 32 108289180
1136,220 48 108289183
1137,144 48 108289197
1138,36 222 108289201
1139,220 95 108289204
1140,88 144 108289205
1141,220 95 108289212
1142,220 95 108289231
1143,220 95 108289251
1144,144 48 108289290
1145,220 48 108289319
1146,144 48 108289319
1147,220 95 108289320
1148,220 95 108289322
1149,220 48 108289324
1150,9 144 1082893416
1151,144 241 10828943
1152,103 144 10828948
1153,9 216 1082896466
1154,194 242 10828982
1155,194 199 10828982
1156,194 209 10828983
1157,194 182 10828984
1158,32 144 108291671
1159,32 243 108291702
1160,204 241 10829209
1161,63 127 108292146
1162,227 144 10829220
1163,194 209 10829245
1164,168 95 108292531
1165,63 127 108292592
1166,44 214 108292634
1167,41 32 1082928441
1168,9 244 1082929648
1169,245 191 10829298
1170,228 97 108293013
1171,211 228 10829324
1172,211 246 10829326
1173,19 52 1082932884
1174,233 88 108293369
1175,34 242 108293398
1176,19 233 108293422
1177,127 63 108293546
1178,143 32 108293576
1179,143 95 108293581
1180,9 235 1082936101
1181,9 177 1082936128
1182,63 127 108293680
1183,32 88 1082936843
1184,211 233 10829370
1185,88 32 1082937580
1186,32 88 1082937803
1187,247 248 10829378
1188,248 247 10829379
1189,176 248 10829381
1190,176 248 10829383
1191,211 232 10829392
1192,88 32 1082939473
1193,176 248 10829399
1194,176 63 108293996
1195,32 88 1082940004
1196,249 63 108294005
1197,41 250 108294086
1198,41 248 108294086
1199,95 168 108294087
1200,41 251 108294088
1201,34 242 108294118
1202,176 72 108294162
1203,44 88 1082942825
1204,103 177 10829435
1205,103 86 108294365
1206,12 168 108294441
1207,51 86 1082944567
1208,212 252 10829448
1209,176 63 108294498
1210,41 97 1082945103
1211,168 95 108294522
1212,249 63 108294525
1213,212 34 108294528
1214,212 252 10829453
1215,176 63 108294531
1216,212 252 10829454
1217,176 63 108294559
1218,212 34 108294564
1219,249 63 108294579
1220,212 34 108294605
1221,103 63 108294616
1222,144 247 10829462
1223,204 51 108294622
1224,103 63 108294626
1225,101 208 10829463
1226,212 34 108294654
1227,212 252 10829466
1228,53 253 108294873
1229,9 251 1082948778
1230,164 8 1082950430
1231,8 164 1082950522
1232,212 34 108295091
1233,44 88 1082951104
1234,44 48 1082951267
1235,44 88 1082951300
1236,44 48 1082951438
1237,254 8 1082951480
1238,8 254 1082951551
1239,44 88 1082951704
1240,254 8 1082951755
1241,95 168 108295189
1242,254 8 1082952078
1243,8 254 1082952225
1244,254 8 1082952345
1245,8 254 1082952399
1246,254 8 1082952539
1247,1 255 1082953823
1248,103 256 10829554
1249,143 32 108295551
1250,204 257 10829561
1251,52 48 1082956481
1252,258 76 108295665
1253,168 95 108295713
1254,259 260 10829573
1255,261 256 10829574
1256,19 52 1082957505
1257,204 81 108295767
1258,19 52 1082957685
1259,259 256 10829577
1260,51 260 108295791
1261,260 51 108295804
1262,204 262 10829580
1263,19 52 1082958105
1264,103 260 10829581
1265,263 254 10829581
1266,263 254 10829583
1267,204 51 108295835
1268,260 51 108295856
1269,204 51 108295869
1270,41 256 108295886
1271,204 51 108295886
1272,204 51 108295888
1273,36 254 108295890
1274,204 51 108295891
1275,36 222 108295894
1276,204 51 108295902
1277,204 51 108295905
1278,204 51 108295926
1279,204 51 108295930
1280,62 215 108295933
1281,204 51 108295945
1282,264 158 10829595
1283,6 122 1082959563
1284,204 51 108295989
1285,36 254 108295998
1286,36 6 1082960026
1287,41 265 108296005
1288,204 51 108296005
1289,204 51 108296029
1290,36 6 1082960602
1291,36 254 108296064
1292,260 51 108296065
1293,204 51 108296067
1294,36 222 108296075
1295,96 6 1082960820
1296,204 51 108296083
1297,96 6 1082960895
1298,256 259 10829609
1299,204 48 108296094
1300,36 254 108296095
1301,36 6 1082960970
1302,204 51 108296097
1303,96 6 1082960993
1304,36 6 1082961076
1305,96 6 1082961084
1306,204 51 108296117
1307,96 6 1082961242
1308,204 51 108296124
1309,36 6 1082961311
1310,36 254 108296133
1311,36 254 108296136
1312,204 48 108296139
1313,96 6 1082961537
1314,211 251 10829615
1315,204 266 10829616
1316,204 51 108296172
1317,267 260 10829617
1318,267 256 10829617
1319,260 51 108296186
1320,260 267 10829618
1321,12 260 108296187
